         20636979 function calls (20628057 primitive calls) in 9.734 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2758    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     2684    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1669    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     2683    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2333(_sum_dispatcher)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     1257    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\python_impl\rrt_star_numpy_opt.py:96(__init__)
1244/1242    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       29    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     1255    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\multiarray.py:383(where)
     1428    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:1345(_argmin_dispatcher)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     1428    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\logger.py:68(set_time_sequence)
      910    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\logger.py:65(log_path)
     1255    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\logger.py:62(log_rewiring)
     1428    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\logger.py:59(log_tree)
     17/1    0.000    0.000    0.021    0.021 <frozen importlib._bootstrap>:1349(_find_and_load)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:464(inner)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      382    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
